leaf	prerequisites	setting	law_or_property	counterexample	boundary	ct_teaching	mlpl_expression	follow_up
finite_dependent_constructions.mlpl	products coproducts exponentials and slices	finite set-indexed family with flat encoded fibers	dependent sum and dependent product tables	yes	one family and incomplete slice coverage do not prove local cartesian closure	strong	moderate	ragged fibers remain explicitly flat encoded
finite_polynomial_containers.mlpl	functors coproducts products and dependent families	finite sets and P(X)=1+X squared	polynomial payload action and container arity	yes	one explicit container not generic polynomial syntax	strong	moderate	generic shape-indexed mapping remains deferred
finite_monoidal_foundation.mlpl	products composition and commutative diagrams	nested finite tensor records with singleton unit	pentagon and triangle coherence	yes	one explicit tensor fixture not an arbitrary monoidal category	strong	moderate	strictness boundary follows next
finite_monoidal_strictness.mlpl	monoidal coherence and isomorphism	nested finite tensor records	strict equality versus associator isomorphism	yes	one non-strict fixture not a classification of strict categories	strong	strong	none
finite_braided_symmetric.mlpl	monoidal coherence associators and naturality	nested finite tensors with swap braiding	hexagon coherence and involutive symmetry	yes	one symmetric fixture not every braided category	strong	moderate	none
finite_monoid_comonoid.mlpl	monoidal category tensor and duality	finite internal morphism tables	monoid and comonoid diagrams	yes	categorical packaging not algebra classification	strong	moderate	sibling boundary retained
finite_group_module_boundary.mlpl	monoid objects inverses and scope boundary	attributed finite Z2 fixture	group inverse diagram and module evidence gate	yes	CT100 constrained by absent stable module fixture	strong	moderate	add module only after sibling fixture exists
finite_monoidal_functors.mlpl	monoidal coherence functors and naturality	one finite identity-like functor fixture	directed comparisons inverse maps and compatibility	yes	one missing object pair prevents closedness claim	strong	moderate	closedness needs every-pair evidence
finite_dual_compact_boundary.mlpl	tensor unit and identity arrows	one finite self-dual pairing fixture	two typed snake identities	yes	one missing object dual prevents compact closure	strong	moderate	string-diagram topology follows next
finite_string_graphs.mlpl	monoidal tensor composition and typed arrows	one finite four-box port graph	typed connectivity movement and interchange	yes	coordinate movement is one bounded witness	strong	moderate	general isotopy needs graph rewriting
